id,Position,Player,Team,Consensus,Sleeper,ESPN,FantasyPros
1,RB,Bijan Robinson,ATL,2.0,1.2,2.0,2.7
2,RB,Jahmyr Gibbs,DET,1.7,2.7,1.0,1.4
3,RB,Jonathan Taylor,IND,6.0,3.8,7.0,7.1
4,RB,Christian McCaffrey,SF,7.2,4.9,6.0,10.6
5,RB,James Cook,BUF,9.2,5.1,12.0,10.4
6,WR,Ja'Marr Chase,CIN,4.0,6.6,3.0,2.5
7,RB,Derrick Henry,BAL,10.9,7.4,10.0,15.3
8,RB,De'Von Achane,MIA,15.4,8.0,13.0,25.1
9,WR,Puka Nacua,LAR,5.8,8.9,4.0,4.4
10,WR,Jaxon Smith-Njigba,SEA,6.7,9.2,5.0,6.0
11,RB,Ashton Jeanty,LV,20.2,11.5,19.0,30.2
12,RB,Omarion Hampton,LAC,19.5,12.2,21.0,25.4
13,RB,Kyren Williams,LAR,27.8,12.8,39.0,31.6
14,RB,Saquon Barkley,PHI,15.1,13.4,15.0,16.8
15,WR,CeeDee Lamb,DAL,11.2,14.3,9.0,10.4
16,QB,Josh Allen,BUF,25.4,15.0,36.0,25.1
17,RB,Jeremiyah Love,ARI,31.1,15.2,—,47.1
18,WR,Amon-Ra St. Brown,DET,10.6,16.8,8.0,7.0
19,RB,Chase Brown,CIN,20.6,17.8,22.0,22.0
20,WR,Justin Jefferson,MIN,13.7,18.5,11.0,11.7
21,WR,Drake London,ATL,16.6,19.1,14.0,16.6
22,RB,Josh Jacobs,GB,28.9,20.2,30.0,36.4
23,TE,Trey McBride,ARI,21.1,21.7,17.0,24.5
24,RB,Kenneth Walker III,KC,21.6,22.7,18.0,24.2
25,QB,Lamar Jackson,BAL,37.2,23.4,58.0,30.1
26,WR,Nico Collins,HOU,22.3,26.7,25.0,15.1
27,RB,Breece Hall,NYJ,30.7,27.1,23.0,42.0
28,WR,George Pickens,DAL,25.8,28.6,29.0,19.7
29,TE,Brock Bowers,LV,23.8,30.2,24.0,17.2
30,WR,Malik Nabers,NYG,28.8,30.3,28.0,28.2
31,WR,Chris Olave,NO,27.8,31.2,27.0,25.1
32,RB,Javonte Williams,DAL,32.8,32.1,31.0,35.4
33,RB,Bucky Irving,TB,43.4,32.3,42.0,56.0
34,WR,A.J. Brown,NE,24.8,33.2,26.0,15.2
35,WR,Rashee Rice,KC,27.0,34.2,16.0,30.7
36,RB,Travis Etienne Jr.,NO,40.3,34.4,38.0,48.5
37,WR,Tee Higgins,CIN,38.6,35.8,47.0,32.9
38,WR,Tetairoa McMillan,CAR,37.1,37.5,35.0,38.9
39,WR,Garrett Wilson,NYJ,40.4,38.4,34.0,48.9
