id,Position,Player,Team,starred,do_not_draft
1,RB,Bijan Robinson,ATL,1,0
2,RB,Jahmyr Gibbs,DET,1,0
3,RB,Jonathan Taylor,IND,1,0
4,RB,Christian McCaffrey,SF,0,0
5,RB,James Cook,BUF,1,0
6,WR,Ja'Marr Chase,CIN,1,0
7,RB,Derrick Henry,BAL,1,0
8,RB,De'Von Achane,MIA,0,0A
9,WR,Puka Nacua,LAR,0,0
10,WR,Jaxon Smith-Njigba,SEA,1,0
11,RB,Ashton Jeanty,LV,0,0
12,RB,Omarion Hampton,LAC,0,0
13,RB,Kyren Williams,LAR,0,0
14,RB,Saquon Barkley,PHI,1,0
15,WR,CeeDee Lamb,DAL,0,0
16,QB,Josh Allen,BUF,0,0
17,RB,Jeremiyah Love,ARI,0,1
18,WR,Amon-Ra St. Brown,DET,1,0
19,RB,Chase Brown,CIN,1,0
20,WR,Justin Jefferson,MIN,1,0
21,WR,Drake London,ATL,0,0
22,RB,Josh Jacobs,GB,0,0
23,TE,Trey McBride,ARI,0,0
24,RB,Kenneth Walker III,KC,0,0
25,QB,Lamar Jackson,BAL,0,0
26,WR,Nico Collins,HOU,0,0
27,RB,Breece Hall,NYJ,0,0
28,WR,George Pickens,DAL,0,0
29,TE,Brock Bowers,LV,0,0
30,WR,Malik Nabers,NYG,0,0
31,WR,Chris Olave,NO,0,0
32,RB,Javonte Williams,DAL,1,0
33,RB,Bucky Irving,TB,0,0
34,WR,A.J. Brown,NE,1,0
35,WR,Rashee Rice,KC,0,0
36,RB,Travis Etienne Jr.,NO,1,0
37,WR,Tee Higgins,CIN,1,0
38,WR,Tetairoa McMillan,CAR,0,0
39,WR,Garrett Wilson,NYJ,0,0
40,RB,TreVeyon Henderson,NE,0,0
41,WR,Luther Burden III,CHI,1,0
42,RB,Cam Skattebo,NYG,0,0
43,WR,Jaylen Waddle,DEN,0,0
44,RB,Bhayshul Tuten,JAX,0,0
46,WR,Davante Adams,LAR,0,0
47,TE,Colston Loveland,CHI,1,0
48,WR,Ladd McConkey,LAC,1,0
49,RB,D'Andre Swift,CHI,0,0
50,RB,David Montgomery,HOU,0,0
51,QB,Drake Maye,NE,1,0
52,WR,Zay Flowers,BAL,1,0
53,RB,Jaylen Warren,PIT,0,0
54,WR,Jameson Williams,DET,1,0
55,WR,DeVonta Smith,PHI,1,0
56,QB,Joe Burrow,CIN,0,0
57,WR,Emeka Egbuka,TB,1,0
58,WR,Terry McLaurin,WSH,0,1
59,RB,RJ Harvey,DEN,0,0
60,TE,Tyler Warren,IND,1,0
61,RB,Rhamondre Stevenson,NE,0,1
62,WR,DJ Moore,BUF,0,0
63,WR,Mike Evans,SF,0,1
64,WR,Carnell Tate,TEN,0,0
65,RB,Kyle Monangai,CHI,0,0
66,WR,Jordyn Tyson,NO,0,0
67,TE,Harold Fannin Jr.,CLE,0,0
68,RB,Tony Pollard,TEN,0,0
69,WR,Christian Watson,GB,1,0
70,RB,Rico Dowdle,PIT,0,0
71,QB,Jayden Daniels,WSH,0,0
72,RB,Chuba Hubbard,CAR,0,0
73,WR,Rome Odunze,CHI,0,0
74,RB,Blake Corum,LAR,0,0
75,RB,J.K. Dobbins,DEN,0,0
76,QB,Jalen Hurts,PHI,0,0
77,TE,Tucker Kraft,GB,1,0
78,WR,Courtland Sutton,DEN,0,0
79,TE,Kyle Pitts Sr.,ATL,1,0
