Rank,Player,POS,Team,AVG,Expert,Sleeper,ESPN,Yahoo,Underdog,CBS,FFPC
1,Bijan Robinson,RB2,ATL,1.8,2,1,2,2,2,2,2
2,Jahmyr Gibbs,RB1,DET,1.2,1,2,1,1,1,1,1
3,Jonathan Taylor,RB3,IND,5.8,9,3,7,5,8,3,9
4,Christian McCaffrey,RB4,SF,6.2,6,4,6,6,6,8,7
5,James Cook,RB5,BUF,8.5,10,5,12,9,10,5,10
6,Ja'Marr Chase,WR1,CIN,3.7,3,6,3,3,3,4,3
7,Derrick Henry,RB6,BAL,13.2,19,7,11,17,17,6,21
8,Devon Achane,RB8,MIA,13.8,14,8,13,15,18,12,17
9,Puka Nacua,WR2,LAR,5.3,4,9,4,4,4,7,4
10,Jaxon Smith-Njigba,WR3,SEA,7.0,6,10,5,8,5,9,5
11,Ashton Jeanty,RB12,LV,16.3,17,11,16,21,16,20,14
12,Omarion Hampton,RB10,LAC,16.2,14,12,19,16,15,17,18
13,Kyren Williams,RB14,LAR,26.5,31,13,37,27,31,18,33
14,Saquon Barkley,RB7,PHI,13.5,14,14,15,10,12,11,19
15,CeeDee Lamb,WR5,DAL,12.2,10,15,9,11,9,16,13
16,Josh Allen,QB1,BUF,28.7,39,16,36,32,38,14,36
17,Jeremiyah Love,RB13,ARI,25.3,29,17,17,28,28,33,29
18,Amon-Ra St. Brown,WR4,DET,9.7,7,18,8,7,7,10,8
19,Chase Brown,RB9,CIN,15.7,12,19,23,14,14,13,11
20,Justin Jefferson,WR6,MIN,14.2,11,20,10,13,11,19,12
21,Drake London,WR7,ATL,20.7,20,21,14,20,23,23,23
22,Josh Jacobs,RB24,GB,53.3,145,22,62,108,46,36,46
23,Trey McBride,TE2,ARI,25.2,28,23,20,31,29,32,16
24,Kenneth Walker,RB11,KC,16.2,15,24,18,12,13,15,15
25,Lamar Jackson,QB2,BAL,48.2,55,25,56,50,58,31,69
26,Nico Collins,WR8,HOU,23.2,22,26,25,18,22,24,24
27,Breece Hall,RB15,NYJ,29.5,30,27,22,30,30,38,30
28,George Pickens,WR10,DAL,25.0,24,28,28,22,24,21,27
